City Name,latitude,longitude,Temperature,Humidity,Cloudiness,WindSpeed
gamba,-5.628282670557829,6.321472242216187,24.242,72.0,20.0,1.87
mahebourg,-31.15470959436704,69.4625219346167,80.6,83.0,75.0,4.6
chokurdakh,76.79303549786293,147.88855386933795,-22.683999999999997,34.0,8.0,3.67
kupang,-9.737834235655448,123.56587234667151,83.66,96.0,56.0,3.12
punta arenas,-85.90836937080532,-101.55911675361614,48.2,70.0,0.0,11.8
mataura,-25.248967749480244,-144.80824912020563,61.88,80.0,88.0,4.12
beyneu,44.3265009369922,55.43543885539758,35.33,88.0,64.0,6.37
rocha,-38.08342178859423,-51.56150090060164,61.7,93.0,0.0,1.22
jamestown,-43.230573510411574,-12.338817458329183,67.1,63.0,0.0,5.67
saskylakh,71.9901241689953,114.40787862215291,-15.484000000000002,69.0,24.0,1.77
hithadhoo,-14.47511418121768,83.0895033426483,83.75,100.0,44.0,2.52
grafton,48.414366399520254,-97.53535158953243,69.566,100.0,92.0,1.22
deniliquin,-35.606428446428204,144.96703950992813,73.75999999999999,56.0,0.0,6.42
norman wells,68.98663350155715,-120.64044456721186,8.599999999999998,78.0,90.0,3.6
lebu,-29.078424675388504,-92.31789085286006,53.6,93.0,40.0,1.0
bredasdorp,-80.32093075799519,15.124887154327718,69.80000000000001,83.0,76.0,1.5
severo-kurilsk,38.84500008565747,161.3276732211689,28.616,100.0,56.0,13.52
kavieng,8.490432467916673,155.91980313010777,84.92,100.0,64.0,3.27
ngunguru,-34.82982619103743,175.12551283451316,71.87,99.0,24.0,0.87
kavaratti,13.409122653804149,68.25697930871328,83.93,100.0,0.0,5.07
spornoye,63.471194673989075,151.2836619216492,8.599999999999998,92.0,40.0,5.0
hermanus,-86.25984515980912,-8.800265831654048,62.06,90.0,20.0,1.97
broome,-17.96643970844982,125.1119323860373,38.876,100.0,0.0,3.6
avarua,-51.393002597419695,-163.3767559447936,84.2,70.0,20.0,4.1
grand gaube,-11.559138701107075,63.03140063725764,80.6,83.0,75.0,4.6
castro,-45.840866421407064,-86.74824887333774,43.376000000000005,97.0,0.0,1.17
damghan,35.3571553855877,54.551438235962806,51.71,90.0,0.0,1.42
mitsamiouli,-6.169951231307928,46.399341455260384,77.0,94.0,90.0,6.7
ancud,-40.41359642313937,-76.0229462556414,43.61,83.0,0.0,1.22
vaini,-24.274300708484013,-176.49054193869077,89.99600000000001,32.0,0.0,1.52
batagay,67.14223500542168,136.071535872119,-12.424,58.0,64.0,1.92
tasiilaq,56.563118228938116,-34.38468677056503,17.6,67.0,80.0,10.3
busselton,-56.3924564800452,96.50458438306477,81.59,68.0,0.0,2.92
ilulissat,70.64785840583896,-49.013432947068566,8.599999999999998,78.0,68.0,3.1
salalah,18.222921296774448,51.94926570872651,71.6,40.0,0.0,2.1
puerto escondido,10.390665994767646,-98.7338563435446,80.54599999999999,99.0,0.0,4.52
dali,25.624889633878954,99.12641403480274,67.46000000000001,41.0,0.0,2.07
ribeira grande,36.226427572576775,-29.062047379702783,54.266,100.0,92.0,1.87
carnarvon,-27.197703657387965,92.30595794700565,61.25,45.0,0.0,1.42
kodiak,48.49004578736281,-150.9409562408474,55.400000000000006,66.0,90.0,8.2
rikitea,-25.28825732247133,-116.5138952808717,79.646,100.0,44.0,4.52
tuktoyaktuk,70.19222629157049,-128.2803167899818,14.0,85.0,90.0,7.7
dikson,83.75393334882531,81.80211596072762,-5.7280000000000015,100.0,68.0,2.52
barrow,82.17109871801325,-169.28954757724316,65.696,97.0,92.0,6.57
pochutla,13.976302937362044,-96.96237353132175,77.0,100.0,40.0,3.92
esperance,-47.27431160300237,127.5405998487516,77.0,94.0,20.0,2.32
gat,24.52368186611994,9.204404354982554,73.4,69.0,0.0,2.1
georgetown,-7.817323540650111,-7.050477651416365,73.4,100.0,40.0,2.37
butaritari,24.69188105763902,166.31516965230995,82.75999999999999,100.0,80.0,5.72
puerto baquerizo moreno,1.1474100733273784,-89.053906784917,78.98,100.0,20.0,2.62
faanui,-10.08384858733714,-150.86934006469778,82.94,96.0,44.0,6.82
albany,-54.86813078916322,113.85900303664818,29.264,66.0,90.0,4.1
san cristobal,-10.56437308343226,-91.65092730261105,51.8,100.0,75.0,0.5
eureka,41.00184688004115,-128.83878494427927,43.7,87.0,1.0,2.1
aksu,37.61657774958021,81.6727191421597,12.2,85.0,40.0,2.0
ushuaia,-84.14294805453592,-61.47763303923654,46.4,70.0,20.0,10.3
bethel,47.59930185274801,-166.90796111481535,30.2,100.0,90.0,10.8
east london,-48.81388922521277,36.83573000226435,68.0,82.0,75.0,2.6
nanortalik,55.0840766357502,-44.40971205382029,24.512,100.0,64.0,0.77
svetlogorsk,66.20492908231273,92.68189257787081,10.399999999999999,72.0,90.0,5.0
hobart,-63.7768242530205,151.17868869046802,62.6,55.0,75.0,4.1
hilo,24.266203666928757,-149.01355563901066,75.2,69.0,90.0,2.1
limbang,4.346954867456317,115.85529992734753,87.584,59.0,75.0,2.6
lubango,-16.418858581640414,13.68332646952935,60.926,90.0,100.0,1.17
pevek,79.80751798676421,169.41320853295258,-14.278000000000006,65.0,0.0,1.42
tilichiki,59.65675886347026,172.0961229069199,27.176,89.0,88.0,1.32
osoyoos,49.00742854690878,-119.27202501889103,30.2,80.0,90.0,0.67
tiksi,86.5155986108243,128.59243737032247,-14.854000000000006,66.0,76.0,3.97
bluff,-82.72431688457613,151.55067607661908,92.57,36.0,36.0,4.77
cookeville,35.86442066153156,-85.46031184340646,41.99,52.0,1.0,2.82
hasaki,34.77800190821504,144.04686909920082,64.904,82.0,75.0,7.7
khatanga,71.2320262498909,96.10964440799917,-12.747999999999998,81.0,48.0,5.02
clyde river,73.61006619840758,-65.50099699454267,-9.399999999999999,83.0,90.0,1.0
nouadhibou,23.70074655751589,-21.69232198092013,62.6,82.0,0.0,5.7
kaseda,31.26840639304539,130.3251509444243,66.2,93.0,75.0,7.7
taybad,33.801360824614946,60.25433425353349,56.965999999999994,91.0,0.0,2.07
te anau,-40.06086936531962,165.24759862099023,61.97,70.0,36.0,2.22
roald,69.0907850947596,3.044994793071843,25.358,68.0,56.0,6.7
talcahuano,-33.114767062480595,-79.66782762241135,55.400000000000006,76.0,0.0,3.1
pocatello,42.78857024686908,-112.34594700155596,26.6,68.0,20.0,8.2
atuona,1.69578631661413,-130.39330214275492,81.266,100.0,44.0,6.22
namatanai,2.9935684313807918,158.2721092369398,85.19,94.0,44.0,4.82
arraial do cabo,-48.52056629161274,-22.83364386040848,76.19,100.0,56.0,1.42
whitehorse,62.50984524902395,-130.93570376403125,14.0,61.0,75.0,2.6
mar del plata,-56.602340156395854,-41.727698732881855,56.03,63.0,24.0,6.82
jining,42.113978046830965,113.53892439180306,48.146,56.0,36.0,4.77
carauari,-5.559134912487242,-67.07087149252185,74.96600000000001,97.0,32.0,1.07
saint-georges,5.151125681399499,-48.487009305920154,28.562,75.0,92.0,2.87
qaanaaq,82.86025417049751,-72.92342187061749,-1.1739999999999995,79.0,44.0,2.42
pokaran,27.427751917786125,71.44488168949059,81.86,40.0,0.0,2.12
samarai,-14.223314103386723,151.39714520992771,82.94,100.0,56.0,6.92
puerto ayora,-22.961879257330068,-99.53444304049194,76.676,100.0,0.0,2.17
sinnamary,18.535817531382936,-44.78796508741834,77.9,100.0,88.0,3.17
lixourion,37.8338416047988,20.07571999108707,59.215999999999994,97.0,92.0,8.42
kapaa,14.498088398003038,-170.11340368394823,73.4,78.0,75.0,6.2
hirara,23.037752171058354,126.72615440702123,79.68199999999999,78.0,75.0,9.3
port alfred,-86.67162709272527,55.940322739921626,66.596,99.0,44.0,2.92
karratha,-19.75603442525335,114.83767550310674,103.37,28.0,0.0,3.22
yulara,-24.783824498258785,130.45377985245267,93.2,20.0,0.0,4.6
san luis,4.051145331732771,-75.14752522573501,69.62,42.0,0.0,7.02
pinos,22.427238499734646,-101.60059736204134,64.4,36.0,5.0,1.62
erzin,47.20153375634957,95.44414352442492,49.117999999999995,100.0,75.0,0.5
shache,38.53560869710484,76.88460758247041,54.41,42.0,8.0,2.07
brae,66.00224217063992,0.6350649801137519,34.808,86.0,80.0,8.7
saint-philippe,-55.148203676568436,66.07604646089543,31.532,88.0,90.0,4.1
sidrolandia,-21.196437549222157,-55.157247435147134,77.0,78.0,75.0,4.1
longyearbyen,84.80843318150123,26.406783375581135,14.0,61.0,20.0,6.2
talnakh,75.81380438476147,92.95549920641031,-9.957999999999998,69.0,36.0,2.32
husavik,75.08583224286238,-10.178211812309403,33.44,92.0,92.0,9.47
pochinki,54.56598797136118,44.802517257138426,12.596,88.0,80.0,3.47
chase,52.16901914042703,-119.82691232406671,33.476,52.0,90.0,3.1
leh,36.051138827277626,78.00430540705752,1.8319999999999972,88.0,44.0,0.62
kirkenaer,60.77089034484417,13.009278738786207,11.876000000000001,84.0,76.0,1.07
new norfolk,-73.24490011416312,127.18851506647974,62.6,55.0,75.0,4.1
vao,-30.205817349836423,165.75716529454547,10.921999999999997,91.0,64.0,1.97
chiredzi,-21.263099357663414,31.164415637895292,70.826,100.0,92.0,1.77
caravelas,-20.29223470452183,-27.164288361038206,81.05000000000001,100.0,32.0,10.07
san quintin,27.119387081664673,-122.57459583023942,87.80000000000001,70.0,20.0,4.1
muroto,27.399849626323366,136.25402714572687,66.2,88.0,75.0,1.0
thompson,67.86404430192842,-93.40888625102215,5.0,77.0,5.0,3.6
methven,-43.199708155363155,171.61714554244475,61.790000000000006,100.0,92.0,1.97
sao filipe,8.614085299858763,-27.231269364224097,69.98,99.0,0.0,7.77
cherskiy,70.44522009834098,160.20192075651394,-13.288000000000004,62.0,8.0,0.42
saint-augustin,51.916792445960844,-57.384900252344295,47.408,81.0,0.0,4.6
cape town,-54.552563537379605,-8.918863732537863,69.80000000000001,68.0,0.0,8.7
kysyl-syr,63.5969673736651,124.11224679332858,-8.698,65.0,64.0,1.92
sangar,64.00877444998929,128.28277739652472,-13.504000000000005,61.0,56.0,1.52
vostok,48.3006062785926,146.97232735082267,11.642,54.0,56.0,2.32
yellowknife,82.337961249192,-112.04919145329994,8.599999999999998,78.0,20.0,2.6
berlevag,74.4523077642044,29.726782259933422,24.8,92.0,90.0,2.6
guaruja,-25.5979595574684,-45.65103976306214,69.62,83.0,40.0,0.5
massaranduba,-7.13568418161219,-35.77117209805037,71.24000000000001,96.0,88.0,1.67
